Flight_ID,Date,Time,Departure_Airport,Arrival_Airport,Temperature_Celsius,Wind_Speed_knots,Turbulence_Level,Visibility_km
164,2024-03-19,02:37:00,AUS Airport,LAX Airport,31,50,Low,15
133,2024-05-26,11:39:00,IAH Airport,PHL Airport,-2,27,Medium,17
67,2024-04-14,13:40:00,PHL Airport,MCO Airport,-17,10,Low,6
64,2024-08-13,12:17:00,LAS Airport,IAD Airport,-15,31,Medium,3
102,2024-11-20,15:48:00,SLC Airport,ORD Airport,17,48,High,6
87,2024-05-18,20:41:00,AUS Airport,CLT Airport,2,47,High,5
130,2024-05-04,06:59:00,CMH Airport,LAS Airport,-7,33,High,3
6,2024-07-06,12:46:00,IAH Airport,DFW Airport,17,20,High,17
86,2024-04-15,05:13:00,SLC Airport,SFO Airport,9,49,Medium,19
199,2024-06-14,05:30:00,IND Airport,SAN Airport,10,44,Low,16
93,2024-11-04,22:42:00,PDX Airport,LAX Airport,1,33,High,9
117,2024-07-01,13:59:00,IAD Airport,PHL Airport,-4,47,High,6
3,2024-02-23,18:12:00,MCI Airport,SEA Airport,12,6,Medium,6
37,2024-09-03,20:00:00,DFW Airport,MIA Airport,35,44,Low,17
43,2024-04-13,07:24:00,ORD Airport,PHX Airport,8,0,Medium,4
13,2024-06-10,11:53:00,DEN Airport,MCI Airport,27,2,Low,11
162,2024-01-06,09:26:00,DEN Airport,SFO Airport,-19,14,Low,4
105,2024-01-25,01:57:00,DFW Airport,ATL Airport,-1,15,Medium,2
114,2024-08-12,09:26:00,PDX Airport,ORD Airport,33,31,Low,10
25,2024-06-15,15:10:00,LAX Airport,DFW Airport,-4,38,Low,15
33,2024-05-16,07:58:00,MCI Airport,BNA Airport,-7,16,High,9
90,2024-03-04,20:52:00,CMH Airport,DTW Airport,-6,25,High,9
40,2024-11-04,11:33:00,TPA Airport,ORD Airport,-7,50,Medium,2
3,2024-08-02,15:57:00,DTW Airport,CLT Airport,14,41,Medium,17
197,2024-09-09,20:29:00,DFW Airport,PHX Airport,33,39,Low,5
38,2024-11-04,23:53:00,MCI Airport,IND Airport,-13,48,High,16
162,2024-10-20,13:46:00,BOS Airport,AUS Airport,36,15,Medium,3
173,2024-07-25,20:56:00,ATL Airport,BOS Airport,20,35,Low,2
78,2024-06-21,14:36:00,MCI Airport,STL Airport,16,8,Low,1
181,2024-07-15,11:55:00,SAN Airport,IAH Airport,5,49,Medium,20
141,2024-10-13,15:41:00,STL Airport,MCI Airport,18,24,Low,7
58,2024-12-12,09:35:00,MIA Airport,LAX Airport,11,4,High,15
74,2024-12-03,14:32:00,MCO Airport,SLC Airport,14,20,Medium,15
146,2024-07-17,11:20:00,JFK Airport,AUS Airport,38,42,High,16
63,2024-04-01,00:22:00,CMH Airport,PHX Airport,36,36,Low,20
68,2024-10-15,15:38:00,SFO Airport,PHX Airport,-18,1,Medium,7
164,2024-10-12,04:18:00,PHX Airport,CLT Airport,-20,6,High,1
187,2024-01-05,19:02:00,TPA Airport,AUS Airport,-3,49,Low,20
3,2024-03-07,18:10:00,IAD Airport,DFW Airport,16,31,Medium,6
107,2024-02-08,09:21:00,PDX Airport,BOS Airport,-5,29,High,3
33,2024-10-11,13:58:00,IAD Airport,LAS Airport,-3,6,Medium,19
92,2024-02-15,23:36:00,DFW Airport,JFK Airport,26,28,Low,11
114,2024-06-24,06:46:00,IAH Airport,MCI Airport,-11,21,Medium,9
99,2024-05-18,12:47:00,IAH Airport,CLT Airport,-8,43,High,8
46,2024-11-17,08:39:00,AUS Airport,PDX Airport,4,14,Medium,20
99,2024-04-03,13:50:00,STL Airport,BNA Airport,4,14,Medium,4
177,2024-05-01,07:08:00,CLT Airport,DFW Airport,-6,40,Medium,8
4,2024-04-16,10:55:00,TPA Airport,BNA Airport,7,7,Medium,20
37,2024-07-15,04:47:00,JFK Airport,DTW Airport,-14,27,Low,20
33,2024-04-05,16:30:00,STL Airport,DTW Airport,-17,34,Medium,16
71,2024-06-05,06:38:00,DFW Airport,ATL Airport,-15,38,Medium,5
176,2024-04-24,18:58:00,ATL Airport,IAH Airport,-14,23,Medium,20
139,2024-06-03,09:04:00,CMH Airport,ORD Airport,-11,14,Medium,5
40,2024-09-22,11:43:00,PHX Airport,ORD Airport,30,11,Low,16
135,2024-09-22,19:12:00,CMH Airport,IAH Airport,28,50,High,14
135,2024-01-27,19:47:00,DTW Airport,SLC Airport,-17,49,Medium,2
69,2024-02-05,03:22:00,IND Airport,CMH Airport,24,2,Low,16
40,2024-01-27,00:23:00,STL Airport,CLT Airport,-5,25,Low,15
55,2024-08-15,14:56:00,SLC Airport,JFK Airport,8,38,Low,11
180,2024-11-11,10:18:00,PHL Airport,MCO Airport,18,15,Medium,8
98,2024-05-17,20:02:00,DFW Airport,IAH Airport,-3,18,Low,19
138,2024-01-13,04:34:00,JFK Airport,MIA Airport,-16,15,High,19
146,2024-08-18,12:50:00,PHX Airport,JFK Airport,16,4,High,9
137,2024-05-24,07:15:00,JFK Airport,SAN Airport,-7,45,Medium,12
12,2024-03-07,01:03:00,DTW Airport,BOS Airport,21,19,High,2
54,2024-09-18,18:46:00,DTW Airport,PHX Airport,31,26,Low,6
118,2024-01-10,23:45:00,MIA Airport,DFW Airport,10,16,High,19
97,2024-11-05,23:23:00,IAH Airport,MSP Airport,4,41,High,20
126,2024-10-06,00:53:00,PHX Airport,IND Airport,10,14,High,2
92,2024-07-21,12:31:00,LAS Airport,CMH Airport,33,41,High,10
148,2024-12-07,14:55:00,DTW Airport,BNA Airport,15,20,Low,8
183,2024-11-15,07:23:00,SFO Airport,TPA Airport,3,27,Medium,14
158,2024-02-20,14:51:00,AUS Airport,IND Airport,15,31,High,15
23,2024-12-17,19:18:00,MCI Airport,DTW Airport,4,11,Medium,20
183,2024-09-15,17:25:00,MCO Airport,TPA Airport,20,22,Medium,14
174,2024-08-06,20:41:00,IAD Airport,SFO Airport,-14,42,High,2
111,2024-07-10,11:53:00,MSP Airport,ATL Airport,-9,27,Medium,13
186,2024-04-21,10:52:00,LAX Airport,CLT Airport,10,10,Low,16
88,2024-04-12,17:25:00,MCO Airport,SAN Airport,34,39,Medium,3
112,2024-07-28,08:09:00,CMH Airport,DTW Airport,20,47,Medium,14
192,2024-11-03,14:41:00,TPA Airport,CLT Airport,-11,11,High,19
95,2024-02-01,06:09:00,SAN Airport,MCO Airport,-16,46,Medium,4
175,2024-10-21,17:10:00,AUS Airport,SFO Airport,4,0,Medium,7
138,2024-08-15,19:35:00,STL Airport,IND Airport,27,35,Low,13
195,2024-01-22,08:14:00,AUS Airport,SEA Airport,33,0,Medium,13
181,2024-02-11,21:15:00,MCI Airport,LAS Airport,33,24,High,16
175,2024-07-04,20:00:00,CLT Airport,DEN Airport,13,4,High,9
153,2024-09-04,04:57:00,SLC Airport,BNA Airport,18,44,Medium,3
119,2024-06-18,03:00:00,ORD Airport,JFK Airport,-2,14,Low,6
37,2024-09-06,03:26:00,JFK Airport,PDX Airport,30,33,Medium,16
193,2024-12-08,04:45:00,MIA Airport,DTW Airport,35,12,Low,2
125,2024-04-02,21:57:00,MCI Airport,PDX Airport,6,34,High,13
39,2024-02-12,00:39:00,ORD Airport,MCO Airport,-10,21,Medium,10
132,2024-08-14,20:00:00,IND Airport,MCI Airport,15,17,Low,3
83,2024-02-16,09:18:00,PHX Airport,SLC Airport,9,25,High,19
86,2024-06-22,12:28:00,CMH Airport,MSP Airport,32,20,Medium,19
198,2024-08-16,22:32:00,MCI Airport,MSP Airport,-13,20,High,1
102,2024-10-26,21:25:00,STL Airport,MCO Airport,13,33,Medium,3
168,2024-05-28,19:20:00,LAX Airport,IND Airport,23,6,Medium,11
163,2024-12-22,01:29:00,MIA Airport,SLC Airport,-20,9,Medium,13
199,2024-04-04,18:43:00,ORD Airport,DEN Airport,33,36,Low,11
5,2024-03-16,02:34:00,PDX Airport,LAS Airport,19,25,Low,11
176,2024-01-18,10:42:00,MIA Airport,LAX Airport,7,49,High,14
157,2024-10-01,22:03:00,SAN Airport,SEA Airport,-8,8,Medium,13
145,2024-07-22,03:09:00,SAN Airport,DFW Airport,1,4,Medium,4
133,2024-08-06,15:42:00,ORD Airport,IAD Airport,34,41,High,11
169,2024-04-24,18:57:00,STL Airport,JFK Airport,40,28,Low,18
113,2024-11-04,09:13:00,SLC Airport,SEA Airport,29,46,Medium,20
140,2024-11-16,06:39:00,SFO Airport,BNA Airport,-4,19,Medium,18
6,2024-04-26,11:38:00,IND Airport,BNA Airport,-3,11,Medium,4
177,2024-11-28,17:09:00,CMH Airport,DEN Airport,9,2,Low,1
182,2024-08-23,19:45:00,BNA Airport,SEA Airport,-4,20,Low,14
192,2024-06-22,06:14:00,MSP Airport,TPA Airport,-14,31,High,19
184,2024-09-26,19:49:00,STL Airport,IND Airport,22,2,Low,13
79,2024-09-03,18:10:00,TPA Airport,PDX Airport,35,33,Medium,15
53,2024-05-21,17:27:00,PDX Airport,MCI Airport,22,42,Medium,13
193,2024-12-01,17:45:00,CLT Airport,LAS Airport,-17,8,Low,4
52,2024-02-17,07:17:00,SEA Airport,LAS Airport,-17,1,Low,4
70,2024-06-17,22:50:00,LAX Airport,PHL Airport,-7,15,Medium,5
126,2024-03-22,22:37:00,ORD Airport,STL Airport,16,31,Medium,16
155,2024-11-26,14:40:00,MIA Airport,SFO Airport,29,26,Medium,4
18,2024-12-22,19:06:00,DFW Airport,LAS Airport,-3,27,Medium,18
85,2024-11-07,05:41:00,DTW Airport,PHL Airport,30,16,High,4
153,2024-12-12,01:27:00,PHL Airport,SAN Airport,20,29,Medium,15
12,2024-07-07,14:48:00,STL Airport,SAN Airport,2,40,High,6
113,2024-07-06,17:18:00,ATL Airport,AUS Airport,8,11,High,3
148,2024-08-06,04:15:00,IAH Airport,CLT Airport,35,37,Low,16
44,2024-08-23,08:12:00,SEA Airport,JFK Airport,-11,18,Medium,6
99,2024-08-23,07:47:00,PHL Airport,STL Airport,16,35,Low,18
194,2024-05-20,21:55:00,MIA Airport,ATL Airport,-8,10,Medium,12
17,2024-11-20,22:17:00,SLC Airport,SAN Airport,17,40,High,2
87,2024-05-09,01:37:00,LAS Airport,DEN Airport,2,19,Medium,1
97,2024-01-13,10:44:00,CLT Airport,ORD Airport,5,1,High,10
154,2024-08-21,19:34:00,MIA Airport,MCO Airport,26,3,High,1
44,2024-04-26,22:15:00,MCI Airport,SLC Airport,-4,26,Medium,13
27,2024-04-15,04:07:00,MIA Airport,PHL Airport,14,6,Low,8
5,2024-03-27,11:34:00,MCO Airport,IAD Airport,-9,36,Medium,19
122,2024-08-17,21:56:00,JFK Airport,SFO Airport,2,15,Low,1
113,2024-11-17,04:59:00,IND Airport,DFW Airport,15,16,Low,20
18,2024-11-20,12:12:00,IAD Airport,MSP Airport,-16,27,High,15
88,2024-07-21,15:21:00,DTW Airport,ORD Airport,-1,45,Medium,19
157,2024-11-16,07:28:00,TPA Airport,MCO Airport,34,5,Medium,9
108,2024-10-09,09:16:00,IAH Airport,JFK Airport,26,20,Medium,15
69,2024-01-04,23:40:00,IAH Airport,AUS Airport,6,35,High,17
31,2024-12-05,01:42:00,SEA Airport,BNA Airport,-8,14,Low,14
108,2024-11-27,19:43:00,DTW Airport,LAX Airport,20,27,Medium,9
82,2024-09-04,07:54:00,IAH Airport,MIA Airport,40,8,Medium,17
83,2024-09-06,04:06:00,ATL Airport,DTW Airport,23,0,High,6
171,2024-05-17,05:40:00,AUS Airport,SEA Airport,-14,20,High,15
144,2024-11-26,06:52:00,MIA Airport,CMH Airport,4,44,Medium,6
34,2024-05-25,10:42:00,BOS Airport,MCO Airport,25,45,Medium,10
176,2024-03-08,16:53:00,LAS Airport,DFW Airport,18,27,High,17
151,2024-09-27,03:31:00,ATL Airport,MCO Airport,40,16,Medium,6
103,2024-12-09,06:37:00,DFW Airport,IAH Airport,-16,20,Medium,18
136,2024-12-06,16:24:00,BNA Airport,TPA Airport,24,48,High,18
171,2024-07-15,11:45:00,CLT Airport,LAX Airport,4,23,Low,20
135,2024-04-15,17:15:00,MIA Airport,SFO Airport,-18,8,High,7
124,2024-03-12,16:08:00,STL Airport,ORD Airport,33,45,Medium,3
190,2024-07-25,00:14:00,CMH Airport,STL Airport,6,38,Medium,8
76,2024-01-28,22:07:00,TPA Airport,PDX Airport,35,36,High,17
113,2024-08-14,06:01:00,PDX Airport,IAD Airport,7,47,Medium,4
94,2024-03-02,02:02:00,DFW Airport,ORD Airport,19,36,Medium,3
11,2024-01-11,18:28:00,SAN Airport,ORD Airport,-14,45,High,2
53,2024-10-08,11:01:00,TPA Airport,LAX Airport,0,28,Medium,6
173,2024-12-26,07:13:00,STL Airport,PHX Airport,-7,21,Low,15
43,2024-05-06,16:29:00,PDX Airport,CMH Airport,-20,42,High,2
32,2024-06-04,09:47:00,IAH Airport,LAS Airport,3,14,High,4
70,2024-02-21,23:18:00,ORD Airport,TPA Airport,11,26,Medium,11
85,2024-07-14,04:45:00,SAN Airport,MSP Airport,-11,28,Low,15
68,2024-12-06,13:36:00,PHX Airport,DTW Airport,7,47,Low,12
179,2024-09-12,17:41:00,MSP Airport,MCO Airport,6,41,High,15
27,2024-12-05,15:04:00,DEN Airport,BOS Airport,11,42,Low,5
10,2024-11-13,19:26:00,AUS Airport,SAN Airport,27,7,High,6
54,2024-06-21,16:03:00,PDX Airport,PHX Airport,1,8,Low,2
195,2024-01-11,09:29:00,MCI Airport,LAS Airport,38,22,Low,14
179,2024-01-09,19:47:00,PHL Airport,ORD Airport,-9,27,High,1
82,2024-03-03,19:00:00,MIA Airport,DTW Airport,-19,10,Medium,3
135,2024-12-24,13:30:00,DFW Airport,DTW Airport,29,25,High,16
60,2024-03-28,07:09:00,DTW Airport,CMH Airport,5,22,Low,13
148,2024-10-11,12:04:00,DEN Airport,DTW Airport,30,1,Medium,7
8,2024-12-15,03:38:00,MCI Airport,CMH Airport,35,10,Medium,3
57,2024-09-22,03:34:00,MIA Airport,DFW Airport,22,4,Medium,16
189,2024-07-27,05:49:00,STL Airport,IAD Airport,35,2,High,5
92,2024-10-21,16:15:00,LAX Airport,DFW Airport,29,31,Low,10
152,2024-01-24,08:41:00,SEA Airport,DFW Airport,2,7,Low,16
55,2024-07-07,01:17:00,LAS Airport,SAN Airport,-4,1,Medium,19
114,2024-03-22,04:13:00,ATL Airport,MCI Airport,-20,23,High,7
186,2024-10-06,01:50:00,MCI Airport,DFW Airport,21,7,Low,16
36,2024-07-14,15:33:00,IAD Airport,BNA Airport,31,2,High,19
155,2024-08-14,01:31:00,ORD Airport,PHX Airport,12,23,High,10
71,2024-07-09,15:25:00,STL Airport,IND Airport,-11,14,Low,3
11,2024-02-04,17:06:00,LAS Airport,AUS Airport,29,28,High,2
41,2024-04-02,16:10:00,PHX Airport,PDX Airport,22,31,High,16
59,2024-03-27,14:24:00,SFO Airport,ORD Airport,22,46,Low,1
99,2024-06-08,10:00:00,STL Airport,LAX Airport,34,47,Low,3
22,2024-05-23,08:16:00,IAD Airport,MCO Airport,-16,47,Low,1
73,2024-06-14,23:52:00,CLT Airport,LAX Airport,9,50,Low,2
157,2024-12-21,14:41:00,TPA Airport,BOS Airport,4,24,High,19
80,2024-08-28,13:32:00,DEN Airport,LAS Airport,37,50,Low,14
58,2024-07-28,04:21:00,SLC Airport,JFK Airport,9,44,Medium,5
186,2024-10-10,21:27:00,IND Airport,PHX Airport,-1,9,High,17
140,2024-03-26,17:44:00,STL Airport,IAH Airport,-12,11,High,9
119,2024-06-21,19:43:00,DEN Airport,CMH Airport,-15,13,Low,7
142,2024-01-18,08:54:00,IAD Airport,SEA Airport,-3,38,Medium,1
10,2024-09-20,09:32:00,IAD Airport,JFK Airport,26,10,Medium,4
97,2024-09-04,03:24:00,LAX Airport,DTW Airport,12,23,Medium,4
186,2024-01-10,22:04:00,MIA Airport,STL Airport,5,3,Low,9
174,2024-04-25,14:27:00,ATL Airport,BOS Airport,12,44,Medium,13
148,2024-10-17,19:06:00,LAS Airport,DFW Airport,19,36,Medium,20
45,2024-02-17,20:07:00,PDX Airport,DFW Airport,23,30,Medium,18
49,2024-09-15,00:01:00,MCI Airport,IAD Airport,6,24,Medium,18
165,2024-05-24,20:59:00,CLT Airport,DFW Airport,40,1,High,10
184,2024-09-01,13:09:00,PHX Airport,BOS Airport,-17,31,Low,3
154,2024-10-24,07:36:00,ORD Airport,SEA Airport,-15,42,Low,8
73,2024-03-19,23:30:00,PHX Airport,STL Airport,-17,46,High,13
46,2024-03-14,11:58:00,LAS Airport,IAD Airport,9,34,High,16
90,2024-08-12,23:04:00,MIA Airport,LAX Airport,11,22,Medium,6
117,2024-02-18,07:51:00,CLT Airport,DEN Airport,2,13,Low,5
77,2024-07-08,02:34:00,LAS Airport,ORD Airport,-18,13,Low,11
13,2024-06-08,04:06:00,SFO Airport,STL Airport,19,33,High,17
68,2024-04-14,16:21:00,CLT Airport,PHL Airport,-17,21,High,12
172,2024-08-25,09:14:00,IAD Airport,LAX Airport,15,37,Medium,2
188,2024-09-04,18:45:00,SAN Airport,JFK Airport,-6,23,Medium,11
68,2024-03-28,18:38:00,ATL Airport,MCI Airport,0,44,Low,5
87,2024-08-08,07:27:00,DTW Airport,IAD Airport,35,38,High,10
115,2024-04-08,21:04:00,STL Airport,SFO Airport,-5,42,High,6
168,2024-11-10,07:01:00,PDX Airport,ATL Airport,24,27,Medium,4
130,2024-02-12,04:02:00,SFO Airport,PHX Airport,-3,11,Low,6
130,2024-01-12,06:28:00,BOS Airport,MCO Airport,15,46,Low,17
64,2024-12-01,03:47:00,SEA Airport,STL Airport,29,29,Medium,19
33,2024-08-14,17:47:00,TPA Airport,BNA Airport,8,28,High,14
136,2024-01-09,02:10:00,DTW Airport,LAS Airport,36,32,Low,3
165,2024-01-07,02:57:00,MSP Airport,MCO Airport,9,29,High,11
59,2024-06-10,07:39:00,IAD Airport,DEN Airport,18,28,High,6
174,2024-12-14,06:23:00,CLT Airport,BNA Airport,30,40,Low,3
